LLHold,LLLatency,LRHold,LRLatency,LSHold,LSLatency,RLHold,RLLatency,RRHold,RRLatency,RSHold,RSLatency,SLHold,SLLatency,SRHold,SRLatency,SSHold,SSLatency,LLHoldStd,LLLatencyStd,LRHoldStd,LRLatencyStd,LSHoldStd,LSLatencyStd,RLHoldStd,RLLatencyStd,RRHoldStd,RRLatencyStd,RSHoldStd,RSLatencyStd,SLHoldStd,SLLatencyStd,SRHoldStd,SRLatencyStd,SSHoldStd,SSLatencyStd,LLHoldSkew,LLLatencySkew,LRHoldSkew,LRLatencySkew,LSHoldSkew,LSLatencySkew,RLHoldSkew,RLLatencySkew,RRHoldSkew,RRLatencySkew,RSHoldSkew,RSLatencySkew,SLHoldSkew,SLLatencySkew,SRHoldSkew,SRLatencySkew,SSHoldSkew,SSLatencySkew,LLHoldKurt,LLLatencyKurt,LRHoldKurt,LRLatencyKurt,LSHoldKurt,LSLatencyKurt,RLHoldKurt,RLLatencyKurt,RRHoldKurt,RRLatencyKurt,RSHoldKurt,RSLatencyKurt,SLHoldKurt,SLLatencyKurt,SRHoldKurt,SRLatencyKurt,SSHoldKurt,SSLatencyKurt,LHold,LLatency,RHold,RLatency,SHold,SLatency,LHoldStd,LLatencyStd,RHoldStd,RLatencyStd,SHoldStd,SLatencyStd,LHoldSkew,LLatencySkew,RHoldSkew,RLatencySkew,SHoldSkew,SLatencySkew,LHoldKurt,LLatencyKurt,RHoldKurt,RLatencyKurt,SHoldKurt,SLatencyKurt,LRHold_Diff,LLRRLatency_Diff,LRRLLatency_Diff,HoldMean,LatencyMean,Parkinsons
82.16903976,263.5863773,81.94680999,277.6105409,113.966144,205.8393119,74.67114757,416.8563305,79.29456295,273.8646238,115.7773732,234.7204697,69.82691458,346.2274374,75.66362967,344.5526031,84.6258427,146.2284644,19.1815824,97.92265875,15.57313984,95.48794685,17.47873546,61.26389797,13.21831533,60.92484493,26.70117819,117.4238361,19.00970929,80.09733359,15.19133699,84.61456067,15.46801871,89.19727968,29.02518168,54.28233016,1.48773331,0.481464446,-0.212148676,0.884416275,2.134925477,1.401424311,-0.042506101,-1.188655788,4.210063096,0.148535039,0.304614222,1.066765422,3.466298018,-0.133397932,0.40838723,0.005749958,1.351149851,1.57255467,7.779470055,-0.700409828,1.896650852,-0.289602762,33.43129508,2.805119078,0.604507132,2.161176639,41.90650931,-1.237983453,1.531864165,0.740678282,53.35637801,-0.812786357,1.276127825,-1.186470615,4.117795212,11.38113713,77.75132975,324.1482713,79.30666887,281.1670568,114.376651,215.2091406,17.60372671,109.4872615,24.60919536,114.1075475,18.30324978,69.77478447,1.587589788,-0.192473382,4.130418504,0.144134814,1.29864747,1.330234999,11.53249199,-1.160589662,44.94469398,-1.138668466,18.93859083,2.047949819,-1.555339116,-10.2782465,-139.2457896,87.09001079,286.1121826,1
97.65414013,406.716242,107.1380165,411.7181818,134.8818182,328.7488636,100.9179487,430.2589744,96.40078431,365.7364706,120.5277778,447.7462963,98.22555556,456.3855556,101.2204545,536.85,59.50769231,185.4153846,25.84060007,162.6060848,26.39753778,196.2007489,26.043794,145.5368682,22.96983136,178.1543846,46.56618606,155.3459045,25.81334609,127.574478,18.21509783,159.0905329,18.69333396,128.7066875,19.13963869,50.25260932,0.443750982,0.377701833,0.472153051,0.249531776,0.012179569,1.328131546,-0.115155738,0.283994237,8.31372644,0.575522756,1.484484637,1.38645419,0.221516744,0.226097226,0.381228252,-0.154138487,1.921535382,2.310339695,0.767563555,-0.511024475,2.109822773,-1.100377054,1.027059113,1.391865666,1.057896001,-0.917784312,100.2134312,-0.246377994,3.518924801,1.283897851,-0.400727338,-0.936774048,0.59068931,-0.491986888,5.097144747,4.913144364,98.93181818,422.3576803,101.5957486,400.2218115,123.5593548,358.1845161,23.86991381,168.6559093,37.21955729,178.8634911,32.61675869,153.5949231,0.236834633,0.31991988,7.495778646,0.344506332,-0.18827713,0.945549916,0.859236334,-0.736605147,110.9607775,-0.838186401,0.696978737,0.597395397,-2.663930432,40.97977145,-18.54079254,102.8736882,405.9241379,0
143.3995283,347.8825472,105.3258865,313.5414894,94.02068966,338.6396552,163.7,310.7994536,106.20875,322.1708333,102.7632653,377.055102,159.4225806,313.0903226,103.7806452,355.1,69.8875,247.925,51.11537224,101.9777474,24.33353799,97.68066945,25.66761738,86.0971706,51.26250692,98.03812697,30.86353223,82.90132653,35.91903914,67.9658985,59.89998883,90.88390488,17.55052553,61.74312917,24.37211179,78.71118938,0.461123699,-1.342299833,3.373008698,0.008292493,0.956552013,-0.248195338,0.200308869,0.037788585,2.382333013,-0.286634759,2.296346368,0.083403104,-0.04922866,-0.088446527,0.348397787,0.02146377,0.659810019,1.054161749,1.094505122,2.022550597,32.20841958,-0.706663523,1.447633154,-0.270530119,0.878859296,-0.709928008,18.20891092,0.765983104,8.31274258,-0.809352131,0.00803151,0.312139485,0.401072455,0.197377358,1.502643974,3.666860207,153.702407,328.3129103,105.6224231,319.6162749,94.36422764,342.1430894,53.21374903,100.4279699,27.03662244,90.17992234,31.55023091,87.76153708,0.264979991,-0.610507849,2.797976342,-0.146721661,1.744934413,-0.240984035,0.625663863,0.235100679,24.14230995,-0.177558096,6.900573195,-0.34052308,48.07998386,25.71171384,2.74203581,123.7934687,325.5696381,0
87.41810455,316.3340841,95.75390555,351.1685477,95.61369427,355.430828,91.75907529,311.6959388,87.04690196,338.2821176,88.84122919,418.1723431,90.27380645,250.9605161,83.60088203,328.1624035,65.97777778,197.4777778,23.42789203,120.0150998,33.96662917,160.3234154,37.42226117,163.2467653,20.56127822,203.2509177,33.52510621,148.9193318,33.9670997,157.6930288,20.02717548,148.9017795,35.45996747,175.3906285,32.17610829,77.68495314,1.153554376,0.514505996,0.526887654,0.221236175,1.149799718,0.315519018,0.484695606,0.605923159,0.574516373,0.476318027,0.235133521,-0.118751796,0.069339847,0.964719649,0.429336416,0.237081723,-0.320297569,1.583891347,10.40698763,1.248726313,2.599631242,-0.673799952,8.294891402,-0.330246438,2.032897308,-0.876300155,1.947018422,-0.014177727,0.873234577,-0.004064219,1.899340682,0.442546169,2.204438634,-0.601509498,-1.362555234,3.318872843,89.35548271,304.0494554,90.88496483,343.2953107,93.25944915,375.5916525,22.0415687,159.1717924,34.35527894,158.4949379,36.46138776,164.1933933,0.795804007,0.661464992,0.508485031,0.30032525,0.912111879,0.164166377,7.209476492,0.08328033,2.216854901,-0.447737378,6.529645485,-0.368982479,-1.529482119,-21.9480335,39.4726089,90.40964004,327.4738051,1
81.94776119,360.5462687,88.875,460.95,92.92777778,424.5298942,78.1,240.2,83.88636364,355.1409091,90.32,410.2252381,82,460.95,102.9029982,434.2034991,230.5,263.7,22.32539224,148.8887182,10.79425001,23.23280726,14.94285297,41.0803945,5.515432893,317.6323661,17.78665509,111.2724963,16.19370425,53.74047401,5.515432893,33.16330804,13.97846032,115.8825208,182.2921282,240.2748842,-1.294870777,-1.467575718,0.320175255,-7.35E-15,-0.391431514,-0.211403827,0.67050488,0.469150188,-0.887300437,-1.855705472,0.331404618,-1.837475996,0.528272435,0.038162811,0.403820799,0.360605568,0.892228,0.687203482,1.862420222,0.947110113,-3.059559134,-0.609531201,0.599859419,-0.691102449,1.364475031,-0.592255644,2.11670763,3.619226868,0.223353974,12.4329926,3.266576074,-0.067298887,5.084960093,-1.250807795,1.401047274,-0.394705723,81.84084507,359.984507,84.10326087,359.7413043,92.4659322,418.8932203,21.7076588,151.8539765,17.5312998,111.0217751,18.94376206,48.29020001,-1.311258661,-1.448205964,-0.909756076,-1.868409492,4.656968453,-1.57169646,2.090633841,0.81398651,2.232887421,3.726849978,66.07916842,10.28484969,-2.262415799,5.405359566,220.75,90.44236388,406.1116866,1
160.0075812,489.8528881,138.8007605,604.1,196.3439024,534.9121951,146.5352113,573.3305164,155.0646959,489.5070946,203.7744,482.4472,149.6840764,571.189172,146.145679,567.0716049,267.55,328.1,49.61385919,154.9722915,31.10033749,163.9561936,37.07833226,118.6928452,35.98301337,114.0793454,39.16144968,154.531992,37.72313379,143.1488474,38.63108969,104.9601729,32.12559746,127.226893,2.757716447,270.6804758,1.145580627,0.301000055,1.898653866,-0.859488583,2.240880117,0.067010404,1.602721564,-0.053437297,0.937031636,0.140074879,1.320706472,0.669253628,1.015399722,0.210981991,0.826736196,0.201107393,1.157536725,0.668505543,1.564517251,-1.013708864,4.757209303,-0.423432779,13.23770899,-0.546083402,4.778207026,-0.409069843,1.171359297,-1.05145798,3.379258472,-0.617422331,1.465947508,-0.790039171,2.530764507,-1.123631355,4.044905198,1.379014671,153.5343887,532.3605981,149.7229701,528.4180556,200.0250859,510.9542955,43.91420859,140.6832098,37.16779349,163.4351507,37.76769039,133.5607066,1.352387647,-0.062204417,1.152588218,-0.113571639,1.751074737,0.221891847,2.62563182,-0.810728705,1.756345728,-1.156155701,7.897141578,-0.657190846,3.811418657,0.345793492,30.76948357,157.7481387,528.1645516,1
206.5663617,423.6068845,174.2731922,251.1523306,180.5861805,231.9161563,185.5685076,267.227027,166.5913911,380.7019963,166.9148297,318.4585838,157.4542607,286.4474896,154.3570427,336.7429573,143.0101877,269.1664879,141.6452139,171.4813036,40.30032964,129.6190982,144.0621346,103.2465706,100.9797893,132.3587146,52.21069156,118.2474142,41.57435105,93.19938861,98.63671059,162.828676,54.86972201,143.238376,32.06881299,59.75704464,25.70413574,-0.117148953,-0.474131056,1.781810232,46.17831198,2.321111912,-0.352732015,1.562920015,-0.99093294,0.257364261,-0.539365041,1.711765896,0.081310976,1.101004919,-1.095517581,0.290572899,-0.012538038,2.986110048,1270.58608,-0.718420991,2.869331125,3.496967693,2243.102973,7.412259185,-1.002353975,2.569909441,1.95497667,1.252922422,2.394730218,5.926714849,-1.267881233,0.534669676,1.153381696,0.316019048,2.435992421,17.39617403,188.7769426,336.1732117,168.1062311,313.6347826,172.6629596,264.8776425,120.5928774,172.4790801,48.10377988,141.1728413,112.4229779,104.7823767,17.40544773,0.633700225,-0.974616288,0.683373272,55.5617388,1.653118081,1017.043948,-0.537863133,2.499578864,0.378854239,3462.512084,4.736701706,20.67071152,42.90488827,-16.07469647,178.4332833,315.140509,1
144.3149798,528.6704453,180.6327434,575.4787611,169.0454545,623.7727273,156.3917098,501.2740933,159.2777778,493.7796296,156.25,649.61,128.9333333,587.2666667,202.125,489.275,70.69090909,340.2090909,42.48234782,137.5425482,60.6282929,148.4488906,52.81229712,156.2564564,57.12990619,143.4044566,52.05996691,163.5979009,77.26106178,220.3555433,24.41154099,139.5382504,56.71991861,78.74428551,46.75952212,222.0491137,0.609719513,-0.193251384,0.40095782,-0.263041685,0.910841257,-1.053175409,0.500152034,0.360416063,0.01959316,-0.37075855,-0.351456327,-3.000344716,1.295304276,1.514531995,0.68982655,0.821183274,0.887183531,0.549493407,1.127157669,-0.085711059,0.3091753,-1.161319981,-0.099207048,0.800807533,-0.481404419,-0.844956734,0.31230798,0.234405413,-0.062198758,9.239133816,-0.012848774,1.402788179,1.415038555,0.387941159,0.270187006,-0.387456873,147.626087,521.2621739,167.039039,521.4492492,131.2375,534.371875,47.25992313,139.6202143,56.04586151,162.2549421,73.12919522,241.6098511,0.666777651,-0.034465715,0.26165941,-0.359057317,0.194054411,-0.836262278,0.606064617,-0.40799094,0.502077686,-0.024682064,-0.641270017,-0.64145075,-19.41295208,34.89081571,74.2046678,153.2564929,521.7188626,0
173.7850318,388.8291698,134.4704605,387.9894298,153.8859796,370.1103528,166.7568293,372.2119734,131.1385835,411.1155648,164.0483101,409.9106539,167.7817204,391.649305,132.1590823,461.7608798,133.9060465,283.6418605,45.03884639,123.1748077,29.03966575,137.7596513,27.99178058,111.0266996,39.8397153,138.9827261,26.82206115,144.4427206,30.83878435,106.7609827,33.59210544,135.4482496,21.59346375,124.7708076,39.06592213,104.7260981,1.008389609,0.769661185,2.008409149,0.745230047,0.847483518,1.33943707,0.353530933,0.925957708,1.230342088,0.426917039,0.778969019,1.148320169,0.34294508,1.004288161,3.704979458,0.720297266,1.47186996,2.229478115,4.166216173,0.814900902,14.54074157,0.181088424,3.913431624,1.813799398,3.876742116,0.461622042,10.45945149,-0.161944485,4.308407171,2.05549523,2.337844208,0.450255467,73.54746445,0.005168945,5.640849093,7.130682032,170.1178546,382.915874,132.9230904,405.4213083,157.1111249,382.4976121,41.52906923,131.703425,27.46719139,140.8441022,30.14009403,112.2411575,0.771832589,0.863590067,1.852076399,0.570391981,0.793236269,1.167514086,4.309186082,0.585523075,16.1827139,-0.037988793,3.94167352,1.652295281,37.19476414,-22.28639497,15.77745643,154.3549713,391.2283202,1
124.2852073,300.3231553,127.4217311,335.5082873,154.7466102,284.0220904,125.7954918,321.1315061,124.9418554,332.6210356,162.7520497,322.7414907,126.8097122,337.7669065,125.3228782,381.1435424,135.6390476,250.7114286,21.62619309,81.74901489,19.5729482,81.21985564,28.53067062,75.44991086,20.59529688,88.46750704,20.75446846,90.87639477,31.32249619,78.48236195,20.24155008,83.27167752,18.69916597,75.48783385,54.68812713,68.68105958,0.397221801,0.362164947,0.281480346,0.029141018,0.699292122,0.683547155,0.989304109,0.144057845,0.427989382,-0.048964441,0.389004646,0.268109002,0.44004205,-0.034321968,-0.452266032,-0.722827556,3.537976404,0.943160717,6.122138247,-0.563283508,2.21460391,-0.717666085,2.654321582,-0.033280984,2.972829991,-0.929047517,7.069446764,-1.047865133,3.414225214,-0.444323806,2.099176053,-0.650949729,4.449852489,1.137365783,19.9904741,3.571487588,125.1824929,313.0799006,126.0454715,337.3767448,156.4026119,294.3472761,21.09025759,85.49218033,20.1364664,86.6028571,31.28685939,78.60013359,0.585304384,0.232307367,0.308593749,-0.073867784,1.037683736,0.544138761,4.637738733,-0.763791972,5.016261944,-0.861352544,7.929980439,-0.220441074,-0.862978599,-32.29788029,14.37678115,132.385339,316.4784518,1
